Date,Average of Temp_2m (celsius),Average of wind_speed,Average of relative_humidity %
6/28/2020,34.08810831,1.632851326,44.32474772
6/29/2020,32.39529826,1.709219587,43.85765076
6/30/2020,35.03459574,1.752511818,31.5809377
7/1/2020,36.39378051,1.638128885,19.99255371
7/2/2020,36.51062419,2.030569277,16.31688436
7/3/2020,37.16396484,1.755271613,12.91435242
7/4/2020,34.17257589,2.680965116,37.69193014
7/5/2020,32.47118022,2.35389651,43.89063517
7/6/2020,34.9563029,2.721355482,17.46452332
7/7/2020,35.8733612,2.075016723,25.70576986
7/8/2020,34.38125001,3.062901119,35.53487142
7/9/2020,35.30344543,2.74518349,33.5689799
7/10/2020,37.16975809,3.008808262,17.93073018
7/11/2020,35.92250469,1.716689535,16.7473348
7/12/2020,31.4461914,2.197426045,45.74968974
7/13/2020,34.86454161,2.581290858,23.30767314
7/14/2020,35.40471802,1.843518959,17.75421143
7/15/2020,36.0951884,2.821854919,32.74678548
7/16/2020,32.83091634,1.933640778,51.70992533
7/17/2020,35.06304321,1.442343693,39.66921489
7/18/2020,37.0864095,1.938909135,15.94469706
7/19/2020,36.22176005,2.60466695,29.65154012
7/20/2020,34.32695414,2.990278664,39.61776733
7/21/2020,26.11265462,2.777167221,72.62975057
7/22/2020,31.29471741,2.379078384,48.6412557
7/23/2020,33.15277507,2.381610335,42.93388367
7/24/2020,34.31554057,1.484083708,45.42427063
7/25/2020,31.37531433,1.666122701,60.66838582
7/26/2020,32.57369384,1.441312232,59.02272542
7/27/2020,34.47029012,1.826430088,48.80185445
7/28/2020,36.12816264,1.934857635,29.25710042
7/29/2020,34.31076457,2.745520779,47.40325928
7/30/2020,30.00804545,2.610356013,68.98684184
7/31/2020,32.51010539,1.302323913,61.79217021
8/1/2020,30.91327311,1.193227236,64.32942708
8/2/2020,33.34943034,1.43014981,55.93622843
8/3/2020,33.57627258,2.078248804,59.50386047
8/4/2020,33.50536499,1.73874121,55.7904307
